Simulation,GSx,"WiGS (MAB-UCB1, c=0.5)",WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (SAC),GSy,WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=2.0)",QBC,"WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=5.0)",Passive Learning,iGS
84,20.323529958724976,28.680555820465088,28.883090257644653,28.72164487838745,39.69859194755554,21.012033224105835,32.67131590843201,32.73975896835327,28.846262216567993,27.0895733833313,32.73486685752869,32.307997941970825,17.63245153427124,24.07137179374695
85,19.75899362564087,33.776275634765625,33.262675285339355,33.13942837715149,40.9987633228302,20.352560997009277,28.35909605026245,32.53420686721802,28.090534448623657,26.947535753250122,34.501479387283325,33.75283980369568,17.577760696411133,23.256836652755737
86,19.41716241836548,27.668700456619263,32.47511124610901,32.328810691833496,40.26982593536377,20.026286602020264,27.805652379989624,27.56833839416504,33.34662485122681,26.713467836380005,28.008267641067505,33.12321591377258,17.436742067337036,22.703665733337402
87,19.620540618896484,28.428098917007446,32.934175968170166,32.80978298187256,42.94694805145264,20.756964445114136,27.943793058395386,28.084505558013916,31.942264318466187,26.91597294807434,27.81130576133728,32.15127968788147,17.303548336029053,22.412954330444336
88,19.45569133758545,31.722411394119263,32.15852427482605,31.806127071380615,38.031705379486084,20.064563274383545,26.581332683563232,31.378421545028687,26.524252891540527,26.666293144226074,31.97828722000122,31.742825269699097,17.308128833770752,22.027049779891968
89,19.744622468948364,27.606207370758057,31.893773078918457,31.88470196723938,37.668078899383545,20.467228174209595,27.08837890625,27.247106552124023,32.34907388687134,26.932584524154663,27.262343645095825,31.197728395462036,17.65958523750305,22.929987907409668
90,20.82182025909424,29.627310752868652,33.78869152069092,34.07557725906372,40.835922718048096,21.895708560943604,34.539056062698364,29.730772495269775,29.84805202484131,28.569923639297485,34.162723541259766,30.122987985610962,18.103344917297363,24.715824842453003
91,20.18484663963318,31.598352432250977,36.96708154678345,36.3535943031311,44.70222616195679,20.78478240966797,36.21612310409546,31.706129550933838,31.59869384765625,27.464629650115967,35.97544503211975,32.14962100982666,17.6152126789093,25.36714744567871
92,20.026593923568726,27.512593746185303,28.45345401763916,28.03165340423584,38.420485496520996,20.462461948394775,32.56398391723633,33.03813672065735,27.640613794326782,26.989552974700928,32.92219376564026,31.39672827720642,17.52719783782959,23.51397442817688
93,20.28274893760681,30.95161533355713,36.93872952461243,36.346116065979004,45.89491128921509,20.91322636604309,31.613648414611816,31.022181034088135,35.409570932388306,27.3827223777771,31.28918194770813,36.31544589996338,17.420010089874268,25.27121663093567
94,19.962917804718018,27.752641201019287,27.55009651184082,27.701600074768066,38.95863604545593,20.7183096408844,31.07299566268921,31.354535818099976,27.876518726348877,27.62853717803955,31.64130997657776,31.44420313835144,17.656468629837036,23.124958276748657
95,20.033153295516968,34.34748959541321,32.87276220321655,32.89000844955444,38.757978677749634,20.817824840545654,28.58887505531311,33.556272983551025,29.193310499191284,27.02361249923706,33.59004831314087,34.02524137496948,17.51567029953003,23.771464347839355
96,19.949458360671997,30.29563331604004,31.96911072731018,31.564570426940918,43.16170120239258,20.532270908355713,34.540903091430664,29.899259567260742,30.33671998977661,27.224195957183838,36.364909410476685,36.18147325515747,17.41225576400757,25.086216688156128
97,19.733083963394165,27.058733701705933,32.11469841003418,32.29925870895386,38.75248718261719,20.192371606826782,31.165289640426636,27.13486361503601,27.2363920211792,27.44143271446228,31.640264987945557,27.3830463886261,17.790212154388428,22.34609842300415
98,20.24924063682556,28.68192720413208,30.72782611846924,29.80880641937256,39.633063077926636,20.86239242553711,35.2397735118866,29.723824977874756,28.565953731536865,27.493266820907593,35.710559606552124,32.62171745300293,17.882073402404785,24.317928791046143
99,19.400017976760864,24.749017238616943,27.638306856155396,27.673419713974,56.743327379226685,19.963780164718628,27.550038814544678,24.885558128356934,24.87121343612671,26.74880361557007,27.633529901504517,24.708498001098633,17.48088026046753,22.019211769104004
